20.10.	Kauno				
20.11.	Jalmari				
20.11.	Jari				
20.12.	Benjamin				
20.12.	Kerkko				
20.2.	Heli				
20.2.	Helin‰				
20.2.	Helj‰				
20.2.	Hely				
20.3.	Aki				
20.3.	Jaakkima				
20.3.	Joakim				
20.3.	Kim				
20.4.	Lauha				
20.5.	Karoliina				
20.5.	Lilja				
20.5.	Lilli				
20.6.	Into				
20.7.	Maaret				
20.7.	Maarit				
20.7.	Margareeta				
20.7.	Marketta				
20.7.	Reeta				
20.7.	Reetta				
20.8.	Sami				
20.8.	Samu				
20.9.	Varpu				
20.9.	Vaula				
21.1.	Aune				
21.1.	Auni				
21.1.	Oona				
21.10.	Ursula				
21.11.	Hilma				
21.2.	Keijo	
21.3.	Pentti			
21.4.	Anselmi				
21.4.	Anssi				
21.5.	Konsta				
21.5.	Konstantin				
21.5.	Kosti				
21.6.	Ahti				
21.6.	Ahto				
21.7.	Hanna				
21.7.	Hanne				
21.7.	Hannele				
21.7.	Jenna				
21.7.	Jenni				
21.7.	Joanna				
21.7.	Johanna				
21.7.	Jonna				
21.8.	Veini				
21.9.	Mervi				
22.1.	Visa				
22.10.	Anita				
22.10.	Anitta				
22.10.	Anja				
22.10.	Anniina				
22.11.	Selja				
22.11.	Silja	
22.12.	Raafael			
22.2.	Tuuli				
22.2.	Tuulia				
22.2.	Tuulikki				
22.3.	Vihtori				
22.4.	Alina				
22.5.	Hemminki				
22.5.	Hemmo				
22.6.	Liina				
22.6.	Paula				
22.6.	Pauliina				
22.7.	Leena				
22.7.	Leeni				
22.7.	Lenita				
22.7.	Matleena				
22.8.	Iivari				
22.8.	Iivo	
22.9.	Mauri			
23.1.	Eine				
23.1.	Eini				
23.1.	Enni				
23.11.	Ismo				
23.12.	Senni				
23.2.	Aslak				
23.3.	Akseli				
23.4.	Jori				
23.4.	Jyri				
23.4.	Jyrki				
23.4.	Yrjänä				
23.4.	Yrjö				
23.5.	Lyydia				
23.5.	Lyyli				
23.6.	Aadolf				
23.6.	Aatto				
23.6.	Aatu				
23.7.	Oili				
23.7.	Olga				
23.8.	Signe				
23.8.	Varma				
23.9.	Mielikki				
24.1.	Senja				
24.10.	Asmo				
24.11.	Lemmikki				
24.11.	Lempi				
24.11.	Sivi				
24.12.	Eeva				
24.12.	Eevi				
24.12.	Eveliina				
24.12.	Aatami				
24.2.	Matias				
24.2.	Matti				
24.3.	Gabriel				
24.3.	Kaapo				
24.3.	Kaappo				
24.3.	Kaapro				
24.4.	Albert				
24.4.	Altti	
24.5.	Tuukka			
24.6.	Jani				
24.6.	Janne				
24.6.	Johannes				
24.6.	Juha				
24.6.	Juhana				
24.6.	Juhani				
24.6.	Juho				
24.6.	Jukka				
24.6.	Jussi				
24.7.	Kiia				
24.7.	Kirsi				
24.7.	Kirsti				
24.7.	Krista				
24.7.	Kristiina				
24.7.	Tiina	
24.8.	Perttu			
24.9.	Alvar				
24.9.	Auno				
25.1.	Paavali				
25.1.	Paavo				
25.1.	Paul				
